Epoch,Layer,Depth,Effective Rank,Smooth Rank (λ=0.1),Smooth Rank (λ=1.0),Smooth Rank (λ=10.0),Train Loss,Test Loss
0,0,4,10.233936309814453,22.28325080871582,20.577077865600586,17.42676544189453,125.78038711208768,126.52619840494792
0,1,4,9.50633430480957,61.55726623535156,49.07686233520508,25.50699806213379,125.78038711208768,126.52619840494792
0,2,4,nan,52.14750289916992,32.49183654785156,13.595268249511719,125.78038711208768,126.52619840494792
0,3,4,nan,34.76097106933594,17.168869018554688,6.7565436363220215,125.78038711208768,126.52619840494792
1,0,4,10.233942031860352,22.28378677368164,20.577239990234375,17.42678451538086,67.73448488927771,79.31581994628907
1,1,4,9.290321350097656,61.67504119873047,49.530399322509766,26.021739959716797,67.73448488927771,79.31581994628907
1,2,4,nan,52.57025909423828,33.267494201660156,14.08620834350586,67.73448488927771,79.31581994628907
1,3,4,nan,35.3587646484375,17.614564895629883,7.09758996963501,67.73448488927771,79.31581994628907
2,0,4,10.233939170837402,22.282827377319336,20.577030181884766,17.426761627197266,48.43873556631583,60.513205271402995
2,1,4,9.11453628540039,61.667625427246094,49.55194854736328,26.19037437438965,48.43873556631583,60.513205271402995
2,2,4,nan,52.51293182373047,33.33209228515625,14.278838157653809,48.43873556631583,60.513205271402995
2,3,4,nan,35.155494689941406,17.775352478027344,7.264098167419434,48.43873556631583,60.513205271402995
3,0,4,10.233935356140137,22.282630920410156,20.576927185058594,17.426746368408203,40.60692832212095,52.51950337219238
3,1,4,9.090723037719727,61.684871673583984,49.653472900390625,26.372468948364258,40.60692832212095,52.51950337219238
3,2,4,nan,52.56402587890625,33.61744689941406,14.648231506347656,40.60692832212095,52.51950337219238
3,3,4,nan,35.886085510253906,18.301532745361328,7.576999664306641,40.60692832212095,52.51950337219238
4,0,4,10.233942031860352,22.283361434936523,20.57715606689453,17.426773071289062,32.188518105966075,42.80851426188151
4,1,4,9.109283447265625,61.693641662597656,49.70326232910156,26.49903678894043,32.188518105966075,42.80851426188151
4,2,4,nan,52.65458679199219,33.96290969848633,14.997810363769531,32.188518105966075,42.80851426188151
4,3,4,nan,37.19853210449219,19.129940032958984,7.913782119750977,32.188518105966075,42.80851426188151
5,0,4,10.233936309814453,22.283109664916992,20.577035903930664,17.426759719848633,27.835519883897568,37.92560752360026
5,1,4,9.096283912658691,61.712867736816406,49.792694091796875,26.601442337036133,27.835519883897568,37.92560752360026
5,2,4,nan,52.62257385253906,34.102081298828125,15.202068328857422,27.835519883897568,37.92560752360026
5,3,4,nan,37.75833511352539,19.532047271728516,8.120705604553223,27.835519883897568,37.92560752360026
