Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,1445.2418186554892,0.001,15.17550874228853,13.816200754601525,-4.503932815249793,0.1028217501445403,52.07608078886714,48.22292337410378,1440.920234467761
2,1067.395970707759,0.001,11.731581452280059,10.707987791785436,-4.436863912949053,0.10529871517710462,54.470281989114625,49.84117737452345,1063.1992247307946
3,891.894179338409,0.001,10.200452184697909,10.601236241159407,-4.375830496809385,0.10755924345448878,56.70311578580151,51.63012013410851,887.8097833355538
4,745.0194397413269,0.001,8.865543312243036,8.2444014510326,-4.321097073214937,0.10963969309656141,58.61260068458446,53.2583743290058,741.0315048492843
5,640.3224092737096,0.001,7.876009115309486,8.360372064501341,-4.272898615643057,0.11156481622533376,60.46268764186698,54.98563498759276,636.4164382348878
6,572.1505921832077,0.001,7.277913094512096,8.05647811847439,-4.227673933639289,0.11332819022092092,61.86311801080343,56.262974079312826,568.3149807031334
7,528.9416282307129,0.001,6.9354391741988675,8.548758509424982,-4.187904162461092,0.11497767506422357,62.99105297839813,57.332546513844406,525.1671035295601
8,489.1191695137363,0.001,6.5914323813513525,8.511969819457809,-4.152715422343363,0.11651498139569849,63.96110916350589,58.20319557400849,485.40066195081135
9,456.8686982572025,0.001,6.304203978714291,7.86858342562255,-4.119847781455383,0.11794416962962628,64.8690826763698,58.986860576552914,453.20237539153334
10,417.91152386177276,0.001,5.890035054565979,7.392840660199753,-4.089950226194127,0.11928450639369932,65.91493685844667,59.919182077199565,414.29322398195893
11,394.6315193732585,0.001,5.682846535947593,6.797024817040418,-4.060867898562685,0.1205469262995286,67.15485399004807,61.087067149126504,391.0584662262184
12,373.19965040867334,0.001,5.478043857738156,6.389996568480848,-4.032888365153356,0.12173351998333473,68.44603712099165,62.39778486249514,369.6679268997561
13,350.95113906674686,0.001,5.23503376113094,6.60802653020963,-4.008547714713321,0.12285108579279301,69.77863019721987,63.7605490259403,347.45683301097057
14,331.80810025966565,0.001,5.030115458421751,6.462008447916742,-3.985147538007517,0.12391776220812502,71.13956605957456,65.2095445718934,328.34892380492835
15,312.17006437902677,0.001,4.813313587930977,6.3929913613084555,-3.965243241588337,0.12492523279551455,72.5514808109711,66.62841160960343,308.74287635047756
16,297.8534505201838,0.001,4.665036523205212,6.324486806623114,-3.9449293369588037,0.12588386290769615,74.01580423187413,68.08568309344791,294.45795134032034
17,284.68579505616464,0.001,4.524455648298937,5.950186701939551,-3.924979749222838,0.12680774030073894,75.46391023115982,69.51530616166913,281.32158438042205
18,273.1405382358882,0.001,4.397342950873202,5.706563897495021,-3.9045035028605857,0.127681069184973,76.70438653706043,70.74867128350083,269.8068933274595
19,263.4282035736629,0.001,4.290223735208598,5.688678703992347,-3.8852285550896837,0.12851727160209103,77.84529174415651,71.90362115554038,260.12452715549824
20,249.12844369524333,0.001,4.104276831944052,5.554090498538786,-3.868110318706559,0.12932940539994114,78.88022002987881,72.94653772239529,245.85253407887546
21,239.25463018394845,0.001,3.9806332185357354,5.500940042827504,-3.8524030825822404,0.13011353694049163,79.89827435357195,73.89870876256632,236.00562645449637
22,229.13002084703788,0.001,3.8588357521144365,5.32159658465946,-3.833803534149717,0.13087135145759854,81.11418393222056,75.06658093309147,225.9095228391753
23,219.66378912891986,0.001,3.743763511646342,5.155556479555055,-3.814126393225985,0.13159633908405766,82.5642874235887,76.5415508104489,216.47264691109598
24,211.48994525965492,0.001,3.6399109399429324,4.986172129741619,-3.797276495953228,0.13229862856077038,83.90661351157046,77.92628085111399,208.32597361936698
25,201.446253746784,0.001,3.497464638629799,4.78667062362385,-3.781313426261029,0.1329799742807168,85.31895564211693,79.30872037403454,198.3087669555982
26,194.83133963152125,0.001,3.412454406515487,4.751216597413185,-3.7653377618140698,0.1336409483902356,86.60662589367887,80.57461063039113,191.71951128056918
27,189.34376577122384,0.001,3.3579910197055365,4.643449309356392,-3.745611479364193,0.1342828580422943,87.81154164035092,81.96085092663775,186.25743440527472
28,182.75408368348997,0.001,3.267678395808815,4.531862527631894,-3.7281191356656227,0.13490611363164406,89.19589952873461,83.31230879941978,179.69332452026373
29,174.05529507642854,0.001,3.1337809386088393,4.403604000468628,-3.7149710250114683,0.1355072451255505,90.72612111954015,84.62362892005207,171.01949657546714
30,168.4998339683916,0.001,3.0571727486427056,4.397023985065979,-3.6983673595080413,0.13608939734618988,92.10483720624019,85.94741561939901,165.49063338397957
31,162.181619977264,0.001,2.963877238432446,4.222377170181027,-3.680907916097001,0.13664923926597733,93.41769458203076,87.43563900039263,159.19887579007377
32,155.29476150894885,0.001,2.85749599431159,3.986567795668892,-3.66770862636502,0.13719280712914864,94.58075528823824,88.6390508549807,152.33519768691158
33,152.1956893972201,0.001,2.823801295444314,3.975707741594416,-3.651230536602838,0.1377171266720475,95.8113543971079,90.00593103936532,149.25972741168772
34,144.56557106907056,0.001,2.6928645767601185,3.809795531575958,-3.63695752163499,0.1382256348215221,96.97794393246303,90.94426756651252,141.6530424961429
35,138.80894429271055,0.001,2.5963424503594172,3.7298933857424657,-3.621990956047494,0.13871884286124306,98.87655093046332,92.76544431417109,135.9210318629687
36,135.48869008759863,0.001,2.5496865590437285,3.7368105854490063,-3.60322416457893,0.1391943703647151,100.27797955707838,94.44747640079939,132.62501661972897
37,130.71322128304467,0.001,2.4747011395291407,3.6224771693480484,-3.5874365388183773,0.13965366078597338,101.81253851412313,96.01952649407465,127.87264824347251
38,126.65227048929476,0.001,2.411009470148696,3.619477197419123,-3.5752863954484444,0.14009652306232231,103.01257759704679,97.23535187405807,123.83329272622092
39,123.85178203923361,0.001,2.3727996396558995,3.635676913754794,-3.565711984945258,0.1405284207322205,104.01625931933862,98.0901293717624,121.05270665517548
40,120.74383046324478,0.001,2.3303691931236914,3.5784124776619004,-3.552842296751862,0.14095075326015624,105.41605467878894,99.57234085768299,117.9640745120209
41,118.58558850083416,0.001,2.3019706712871715,3.408523410624602,-3.5378299313439303,0.14136394719592557,106.33471444641177,100.7295688482009,115.8243232787657
42,114.19422603420702,0.001,2.2304291510395524,3.359946842548043,-3.5243683871479585,0.1417692195845909,107.49049315144543,101.86261570318297,111.45521629140872
43,112.6870602156567,0.001,2.2114754087311383,3.474911172053679,-3.5100042144002552,0.14215961878580533,108.97067301902162,103.1585892645958,109.96993026727388
44,110.51029019074903,0.001,2.180989359799506,3.450099940311046,-3.494854606304782,0.14253917349088382,110.3119199989836,104.61323763019944,107.8145217803332
45,107.42344044093603,0.001,2.1238128516826538,3.4048587811105655,-3.4848114984615717,0.14291315563303206,111.30176074866787,105.67126206108287,104.7468117577515
46,104.00575594665844,0.001,2.060660555980145,3.4905442232737407,-3.475928519043469,0.1432763390127824,112.24832151598062,106.53556707002768,101.3457760751918
47,101.39392108596847,0.001,2.021464955789055,3.522106491337815,-3.464054229206203,0.1436343542554803,113.35942146820531,107.78964960973254,98.7508019605175
48,98.6485575800937,0.001,1.9750935527873639,3.425796818370993,-3.451426113572946,0.14398308807570387,114.87528430338608,109.50991229419277,96.0231885553183
49,97.1765090532998,0.001,1.9499321230892257,3.332828444123362,-3.4412073425920338,0.14432761789731807,115.72224777109817,110.35576406197956,94.5686684154733
50,96.30617310512595,0.001,1.9448625208753008,3.417366727273852,-3.428622468211582,0.14466375983399385,116.37581598770443,111.14118538690809,93.71561585067015
51,93.0492793142397,0.001,1.8848555273601293,3.411056080166303,-3.415917961846932,0.14499312000869485,117.58752090534351,112.0652408089319,90.4795057859575
52,90.68154607991524,0.001,1.8430656082000791,3.39338908630418,-3.4027289282471727,0.14531168417490872,118.9293226860175,113.5678168350257,88.13382331374422
53,89.22114995718925,0.001,1.8204517948236763,3.428679704184886,-3.389974652385048,0.14562713050861695,120.0927448936684,114.9428312747193,86.69360183877008
54,87.34113585441106,0.001,1.786196736015969,3.3883028316362562,-3.377266263902286,0.14593251418242373,120.83217437868454,115.81883419040676,84.83020206449739
55,85.12071499206864,0.001,1.747899008200614,3.3341602361723957,-3.366960797494962,0.1462360371339685,121.80228863016805,116.7087693045628,82.62651442798074
56,85.01548525902355,0.001,1.7566224459306228,3.3874127610191054,-3.3553639858551154,0.14653310499699654,123.30318766645962,118.29827073955046,82.53811041646995
57,82.3885551675446,0.001,1.7050163985316256,3.3103812240801225,-3.3428197770638897,0.1468224381977514,125.15509210449535,120.36458521820525,79.92943049426607
58,80.71092242385873,0.001,1.6763481828011109,3.297717632170375,-3.33399775528804,0.14710718060515096,126.82734289758176,122.04062253517728,78.27123932808261
59,80.02318021529658,0.001,1.6722195684890775,3.2548889842918762,-3.319473403495236,0.14738950680868546,128.26566503788456,123.55086167681361,77.6032558148248
60,79.51232515399536,0.001,1.668392614749039,3.3441340691435686,-3.303399786052041,0.14766786984466967,129.67650488062873,125.13722312519107,77.11251286951313
61,77.99662729635934,0.001,1.6444593652971018,3.388481939026448,-3.297310093933657,0.14794728488038245,130.6348049761751,126.21532073751331,75.61296723361946
62,75.51219845443876,0.001,1.5945347243190375,3.24001713811976,-3.2884167656362844,0.14821976086921174,131.39920176643028,126.91369645866246,73.14212931221304
63,75.60854525688221,0.001,1.5999545942019964,3.2890217964731145,-3.275717008648358,0.14848645337052924,132.7028389536795,128.2714530315855,73.25491249667559
64,74.4765892149879,0.001,1.5800025937078561,3.3160185223681236,-3.26440748780904,0.14875052897425206,134.46298867841702,130.2314905531286,72.14227990668404
65,73.60568851851177,0.001,1.5667673733030012,3.3669815135140366,-3.2571400982459555,0.14900859159396648,135.6218773452433,130.9442188403035,71.28882323835222
66,71.76919121798,0.001,1.5344647317764344,3.279577689290872,-3.2433648027103406,0.1492604439439149,136.7348713199531,132.62729594481533,69.46669221751458
67,71.41174271398579,0.001,1.5287453593501326,3.294045240143339,-3.2319596702967,0.1495097135936579,137.8435894222547,134.17015298682944,69.12560043354374
68,69.43202900002642,0.001,1.4904762686852717,3.336439911234227,-3.2245671945128698,0.14975531934691544,138.42662548087955,134.4683859160888,67.16256147104843
69,68.27200875045897,0.001,1.4695292543492178,3.3030321611382347,-3.2148980971436147,0.1499988524934267,139.48579447551703,135.57332228586097,66.01654384067865
70,68.37471123203228,0.001,1.4762592097768739,3.3312185812204267,-3.2045447151584057,0.15024032446564894,141.30131368833983,137.55142953642823,66.13320336525466
71,67.28977165948596,0.001,1.4571566069768276,3.3255365830572337,-3.1929816831374906,0.1504773912731829,142.72980981830986,138.9571980842169,65.06519029910704
72,65.71399551647856,0.001,1.4240499331057048,3.3704452682188784,-3.1853956434209483,0.1507115281460009,142.9954641164135,139.0956373343037,63.50332898827615
73,65.79077321606272,0.001,1.4287043725826047,3.4384146320267037,-3.1758470497925217,0.15094711227219093,143.6678598096647,139.77103683338242,63.594494088384366
74,66.04695435229573,0.001,1.4375888264416976,3.3455523722618055,-3.162644658926323,0.1511780242484222,145.12491811311557,141.39576112944687,63.864541055156074
75,64.52961731483579,0.001,1.4095897332044023,3.301857455924593,-3.1537213701330002,0.15140857665902055,146.82880136872726,143.15760358977118,62.363946726232875
76,63.444855553531205,0.001,1.3880261669095462,3.3506024533776704,-3.1450186547395136,0.1516322311598628,148.3354740858564,144.5030927499218,61.296151474336476
77,64.46950430719147,0.001,1.4116158688758094,3.3251414372814083,-3.13421059224213,0.15185442420437079,149.32322201903358,145.6321902609413,62.332839303944915
78,62.759444130131044,0.001,1.3782861300739329,3.258507882496512,-3.125942685292863,0.15207582907998332,150.3691804182725,147.03500278556598,60.63646514037718
79,62.73781235328576,0.001,1.38180696077495,3.39774057535162,-3.118220708488631,0.1522935451331211,151.64075356947183,148.2164557946104,60.62916900824231
80,61.44617265362291,0.001,1.3522731064822122,3.2505878748180868,-3.1111658115677363,0.1525099030875869,151.3317503629166,147.9136161656033,59.34748650568513
81,60.68772555187585,0.001,1.341313644285945,3.280067196183553,-3.0993157973212595,0.15272514124736603,152.37494926759672,149.02905030273774,58.60533200188843
82,59.214400867835586,0.001,1.309766684202536,3.1485677489646315,-3.090946939694077,0.15293601771536477,154.01738857336613,150.9421621794164,57.1460055158439
83,58.64019293463964,0.001,1.2973757400851713,3.1185630492626433,-3.084273260779346,0.1531455772088981,155.262612429089,152.23077574679087,56.583869022433056
84,58.19902933139489,0.001,1.2915154652139285,3.1701815553658164,-3.072068812762567,0.15335471332465989,156.25701217844656,153.23931351745173,56.15908260785906
85,58.031484189981235,0.001,1.291387154277039,3.2396646103569084,-3.06166926336441,0.1535612521930671,158.0640676087818,155.58588355998555,56.00752437324374
86,57.719844799199635,0.001,1.2856114134986087,3.326343010562888,-3.0543587314337506,0.15376502720671947,160.66064030239895,158.17792284959418,55.71068128679718
87,55.905705754603204,0.001,1.2453570480410685,3.1948214207963797,-3.048642666286224,0.1539650456767171,160.92520771864147,157.97550856486478,53.91035717457378
88,56.877959319298924,0.001,1.2696404222838253,3.0884398613496904,-3.042253082389698,0.15416419808458484,160.08989773024166,156.81335849265534,54.89502278642621
89,56.794111996919185,0.001,1.2704976406765722,3.20787517435481,-3.0323243924769563,0.15436335892111483,161.06745173288215,157.90051696645054,54.821204929739594
90,54.70332628772251,0.001,1.2277137640046758,3.2050498151629148,-3.022498762717023,0.15455870562993546,162.8362067209077,160.10810443037022,52.74306054453677
91,55.578684711914526,0.001,1.2496738312942524,3.3027687987647645,-3.013014440006769,0.15475242947178247,164.0252976050601,161.61673170932897,53.63326129568219
92,53.75127097458565,0.001,1.2045541829895212,3.32592185493534,-3.009226284628642,0.15494415219135024,164.71718365380983,161.85966318620558,51.817571566483174
93,51.961370615909324,0.001,1.1625092329375566,3.112387204387862,-3.0019060270080447,0.15513206483502445,165.0659106433549,162.3494187811002,50.03863705468377
94,51.80963037895669,0.001,1.1610694114167428,3.001370086971982,-2.9941175288051207,0.15531632537009457,165.7201406203665,162.91559449340693,49.89789838221843
95,51.49614726504072,0.001,1.156963098498419,3.0507599475389964,-2.9881572830894587,0.15550241058282113,166.28589131160817,163.11301024117014,49.59624029438323
96,50.601521463744234,0.001,1.1385586321461991,3.077033364327961,-2.9803871532555464,0.1556844762422927,167.56939435304582,164.54024074280574,48.715653595180335
97,49.85955265813805,0.001,1.120373909100997,3.000264858212553,-2.9684932171891663,0.15586422814416517,169.21943013521764,166.86000041832145,47.986014040596835
98,49.32247455885869,0.001,1.111054583654709,3.1069477445761406,-2.961064481302716,0.15604238943755783,170.6088419180174,168.2920610723078,47.46081548274499
99,48.68414585213926,0.001,1.099144128973864,3.0110406328810373,-2.9551760159764853,0.15621658135280045,170.3518419151012,167.8662767002366,46.831852708610825
100,48.497240628213234,0.001,1.0955021457315857,2.9003293841664295,-2.9533260553048404,0.15638998012797659,169.88216176023641,166.76085042491042,46.652214539619955
101,47.759878880573815,0.001,1.081943112498041,2.899992091672946,-2.94659179526921,0.15656434326132748,170.38345007065527,167.48136140312732,45.923543549694216
102,47.27225411168851,0.001,1.0731015985613446,2.9213134027553873,-2.936041865810454,0.15673513973871564,171.343183295713,168.827345016149,45.448347476511536
103,47.11059983814274,0.001,1.0731613561557383,2.982282747122214,-2.9307319002161805,0.1569025130914622,173.16208683418415,170.63722238976928,45.29936940892144
104,46.89410607575622,0.001,1.0702644300937927,3.0514134404612814,-2.922644973222578,0.15707095054951623,174.52121634203755,172.3360335329876,45.09382675276433
105,47.15830445655952,0.001,1.0780846321872881,2.9214012573546806,-2.9140802877766725,0.15723967277750903,175.0062213341357,172.9089170671704,45.371484817358436
106,45.61395593357687,0.001,1.0403798887674867,2.8043869470246,-2.909659927052951,0.1574102510891223,175.21526909228416,172.75677679264712,43.833619905040734
107,44.927300863150265,0.001,1.0257572238387758,2.794660606529282,-2.90116935459354,0.15757520186947063,176.16710570848724,173.4268881728495,43.15886369445438
108,44.66318284071758,0.001,1.0198384376041711,2.776671742595779,-2.893900103961598,0.1577423721935799,176.39781250935314,173.5521038720658,42.905607017031684
109,43.60067038808822,0.001,0.9958077892672179,2.791147393924097,-2.8867244337533884,0.1579057552490346,177.69775768992056,175.05689973407314,41.854330909234335
