Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,10413.813966624168,0.001,103.01840647522086,121.17247821953356,-4.5379578069818995,0.1,252.05692748033508,247.93682394981874,10409.69748040221
2,9986.126028594132,0.001,98.13249116361362,117.46124563829478,-4.48641193156472,0.1,222.19586152640505,220.06484461023322,9982.264340795082
3,9431.852522790412,0.001,93.33542437782056,119.34851573861987,-4.4142858096798765,0.1,187.43066776641209,187.68900173038213,9428.313375901042
4,8949.586316890198,0.001,88.4844194925531,114.58726809403275,-4.315585269245973,0.1,151.65391262395812,156.15325668347842,8946.411938193998
5,8246.85767646036,0.001,80.84118688255637,113.3788566261005,-4.189716025217552,0.1,123.78353454225484,136.1115707717191,8244.06228794104
6,7087.7653617738715,0.001,68.09856034868342,107.44056205737701,-4.042235843909583,0.1,114.62212173802054,136.23200264318726,7085.327452608479
7,6364.981660751546,0.001,60.94745369638839,89.61363169188061,-3.918567369577521,0.1,117.11947070451784,139.14193388472745,6362.84069266183
8,5865.829327815482,0.001,55.842706118941585,80.67773470251248,-3.849234708983559,0.1,108.04385087758264,120.3014381535081,5863.865060696174
9,5612.5925922202805,0.001,53.61714523728859,76.37890168695824,-3.8476981733757842,0.1,93.6604313762629,95.84122684644767,5610.686760114238
10,5297.367377478758,0.001,50.73754837809697,70.06240746415692,-3.8761126291953407,0.1,88.78620914815002,85.05923846732823,5295.478148581107
11,5006.25731235149,0.001,47.963812008209246,67.2958749696218,-3.88740439963891,0.1,87.41565926254202,79.94030296984293,5004.410990921115
12,4792.584879144946,0.001,46.52881013984622,58.31044702966729,-3.8576849182967092,0.1,81.21813644185133,74.80228142174282,4790.819964836181
13,4333.169354466585,0.001,41.86455859423687,68.96466457243928,-3.786401409356584,0.1,73.4019301628507,70.48616165432152,4331.505423404228
14,4100.441175525048,0.001,39.149258391954774,59.508985494143005,-3.7092643198163042,0.1,69.2858198548459,68.09196223970066,4098.881373087987
15,3924.9766860611116,0.001,37.292914482778855,74.73016167517072,-3.6482532100386003,0.1,66.31970875163003,62.77520047195217,3923.5028960094437
16,3716.997894706334,0.001,35.293924889140996,56.923873428830646,-3.6124147781144766,0.1,61.633338213566915,55.54703235082946,3715.5835692645132
17,3417.234667542831,0.001,31.700203786057482,62.358819947872824,-3.6116462439165726,0.1,58.62739917550359,48.9796942509548,3415.8579738427916
18,3266.4729824755254,0.001,30.48160065673765,51.23631215650576,-3.6017873401368896,0.1,56.337127150406324,46.704468070766225,3265.1185539996604
