Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,2217.007601819327,0.0001,21.155390464145118,27.447774378212795,-4.568073543865895,0.1,101.03210581199149,100.85567593730786,2212.7028106891885
2,1075.8656972069502,0.0001,10.475408114593579,12.813406970537994,-4.56432373428237,0.1,100.71609308659646,100.51655771002797,1071.564203641851
3,897.1119607537242,0.0001,8.900272281976742,9.764553575404019,-4.561027716142922,0.1,100.48766869382814,100.27973623931834,892.815033332732
4,855.1006059064822,0.0001,8.513790687242924,8.54125997484887,-4.558464277648941,0.1,100.31358478701507,100.1000197464532,850.808126644856
5,815.9191197823683,0.0001,8.129500758864642,7.566742942383811,-4.5565034932874235,0.1,100.17421565881733,99.95509824576625,811.6308023870163
6,773.2839832875477,0.0001,7.712234504823704,6.764717285683379,-4.554981775589096,0.1,100.05933071749793,99.83753127520316,768.9992129177368
7,735.8091953233153,0.0001,7.345051748527551,6.123284586052317,-4.553770614743461,0.1,99.96474950747583,99.73911854065963,731.5274392656032
8,706.9219910343543,0.0001,7.060409598745418,5.665270779364259,-4.552763045543742,0.1,99.88739380904697,99.65960698812535,702.642899001111
9,686.8428822375533,0.0001,6.860449768671099,5.377958419596992,-4.551920589675802,0.1,99.82575037149346,99.59564471233512,682.5661607339075
10,672.912508134348,0.0001,6.71995774217997,5.201139803973543,-4.551216835261104,0.1,99.77701780234302,99.54533052346676,668.6379724619376
11,661.8195649719369,0.0001,6.607357626065539,5.069873594412753,-4.550631133734838,0.1,99.73861606443795,99.50565842454633,657.546960446167
12,651.0618708067562,0.0001,6.498315741809092,4.96657016232687,-4.550153522878986,0.1,99.70851406859596,99.4750711437585,646.7909726232153
13,639.1813636579072,0.0001,6.3792527264273575,4.870175930540504,-4.549794328927473,0.1,99.68474660501928,99.45153083413764,634.911916993056
14,626.094962724023,0.0001,6.2494521103058025,4.771655856249231,-4.549544969959767,0.1,99.66649006886652,99.43303640846648,621.8267345296304
15,612.0473212525537,0.0001,6.110956454436204,4.669565600916463,-4.549382627378393,0.1,99.65312385700263,99.41897352187782,607.7800633513224
16,597.619918273845,0.0001,5.968671887120786,4.577922548534813,-4.549276565213919,0.1,99.6441175916771,99.40860972856193,593.3534123415229
17,583.685390904514,0.0001,5.831150837638028,4.514679356326497,-4.549226192095345,0.1,99.63804729462622,99.40182982824732,579.4194600239853
18,570.7342163052313,0.0001,5.703167349546736,4.466896402177379,-4.549219183275021,0.1,99.63424426841084,99.39745059285694,566.4687470589377
19,558.8486161598406,0.0001,5.585615010676421,4.4229139479503825,-4.549235332088502,0.1,99.63217554586133,99.39536359352009,554.5834967375099
20,547.7507167797713,0.0001,5.475666359108375,4.370434784037389,-4.549255005947452,0.1,99.6304528630841,99.39300769894369,543.4859250799611
21,536.5179958560619,0.0001,5.364017553430568,4.3104322147027565,-4.549303764540191,0.1,99.62940326030218,99.39066837459399,532.2535326584332
22,525.3030792533625,0.0001,5.251976228592608,4.244929416458753,-4.5493693345415815,0.1,99.6289308929413,99.38881272791595,521.038931587124
23,513.9231199614579,0.0001,5.137588539988963,4.180537718775461,-4.549471656816934,0.1,99.62740076750819,99.38627837765235,509.6592132967905
24,502.2062833019049,0.0001,5.018911920762471,4.1125758371324,-4.549610204508035,0.1,99.62523652695675,99.38355363801931,497.94254465495715
25,489.71459870959103,0.0001,4.8917014933234055,4.04289250701959,-4.549786813018746,0.1,99.62289054408139,99.38103730770476,485.4509637840552
26,476.5124490744742,0.0001,4.7566829836526345,3.9801362691888826,-4.549987005204081,0.1,99.62314609848775,99.38156558018724,472.248881207641
27,462.8304411459567,0.0001,4.615790806086084,3.9236392104515447,-4.550227620472501,0.1,99.62547190570292,99.38494194503468,458.56690469735764
28,449.1197765712337,0.0001,4.473157909797156,3.8725892145859833,-4.5504988205525265,0.1,99.6285618739889,99.3888726276003,444.85621922433927
29,435.79189358057727,0.0001,4.332759935099807,3.8172982275808827,-4.550762349185106,0.1,99.6330597113831,99.39436759318127,431.5283349736775
30,422.7202542945285,0.0001,4.192679865451027,3.749609535332448,-4.551029272288467,0.1,99.63895815719452,99.4009945303287,418.4566929793085
31,409.4845201949441,0.0001,4.048791754154365,3.6965117378263725,-4.551324182986348,0.1,99.64514771092188,99.40792746431559,405.22088809533335
32,397.0671561792793,0.0001,3.912157989309571,3.635747301215999,-4.551607621127604,0.1,99.6498751150176,99.4131345347406,392.80343526980823
33,385.16612667361005,0.0001,3.781432430952748,3.5745387872877132,-4.551880877796115,0.1,99.65309998763863,99.41676197095883,380.9023126981664
34,373.74183596359126,0.0001,3.6562020414842693,3.5133758031559372,-4.552124999095615,0.1,99.65501821546957,99.41914084430717,369.4779433213462
35,362.69869231168207,0.0001,3.5372126671236415,3.4574652821200975,-4.5523352594992295,0.1,99.65474347170291,99.41865038006576,358.4348057461603
36,351.9354477602111,0.0001,3.427749060968224,3.431609703588052,-4.5525033169229205,0.1,99.65386120281694,99.4174260546416,347.67164132183416
37,341.5989610636102,0.0001,3.329472436568573,3.427385430127479,-4.5526278581774795,0.1,99.65150171302625,99.41510386822601,337.3353248782027
38,331.37833477866633,0.0001,3.2352338983247355,3.4154970433683465,-4.552698014806308,0.1,99.64786084928703,99.41215958407486,327.1150403298042
