Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,0.979051254296965,0.001,0.0548495120206282,0.06438329998629605,-4.347518568064048,0.10352376475446916,0.8659677343185501,0.8763821226809614,-2.669473088685907
2,-1.481381936253341,0.001,0.028008642191904565,0.03996049313160163,-4.16794011958568,0.105548832354655,0.754490333144789,0.7542256703194012,-4.884607205297535
3,-2.1876653562281234,0.001,0.019521169561378907,0.038217557098386035,-4.039634721821601,0.10676106054195729,0.6872026567792663,0.6801113501411357,-5.435332574408571
4,-2.46284977085791,0.001,0.016232132121446374,0.038359033903175695,-3.9852476598556867,0.10746449588942593,0.6578607947163263,0.6470003363831869,-5.629670686120779
5,-2.5930356423531733,0.001,0.014788329521970175,0.0342794998640264,-3.970950203808753,0.10782488205881974,0.6571153451989863,0.645386976951043,-5.719773929318281
6,-2.671766851587219,0.001,0.014171283168623221,0.03414639627442102,-3.9938996513524425,0.10789208407909329,0.6664554887221795,0.6549871875875941,-5.790974617361072
7,-2.7185919197149913,0.001,0.013831049056580048,0.02804734669076329,-4.004659100719723,0.10784553098163109,0.678308790613433,0.6675050634189541,-5.849606191078869
8,-2.787468618360773,0.001,0.013244849199029615,0.029734488239034323,-4.029371533160863,0.10768074311851884,0.6939875994563292,0.6838725106482612,-5.934043580017411
9,-2.844817530125077,0.001,0.012767843132743316,0.029559350516600955,-4.0508679323846675,0.10735963136763912,0.6979846636805713,0.6874858272541937,-6.018233762868812
10,-2.8703363232539414,0.001,0.012767978031283742,0.03128210994894881,-4.083803865351394,0.10699531760518338,0.7124824677518461,0.7020982319448519,-6.074624659360495
11,-2.898427788083608,0.001,0.01271951459655821,0.03031962278250742,-4.1173889201991045,0.10660147534174666,0.7291190660430358,0.7197449598074859,-6.134753916498389
12,-2.8975913234040336,0.001,0.013125707731365783,0.029680719241563878,-4.15539998263701,0.10612094545463782,0.7575338765166642,0.7504161833238219,-6.165856019294708
13,-2.942254300467427,0.001,0.013092204413079228,0.031392733712098726,-4.202024709934938,0.1056174686939906,0.7863391402588124,0.7811858626347923,-6.239117696180771
14,-2.991232911428883,0.001,0.012777292456254832,0.03171598714896602,-4.233414499772304,0.10503715863608272,0.8063196815252117,0.8025627995865763,-6.314617569829033
15,-3.0231202363031047,0.001,0.012527670861858346,0.02778235344872949,-4.254664068007782,0.1044688679629271,0.8154490239062423,0.8119344077079691,-6.373314272784969
16,-3.0678760533097096,0.001,0.012131648828532885,0.027538653423452963,-4.2770187427037865,0.10385991544999662,0.8209565343395799,0.8169683179068432,-6.444640951948338
17,-3.0784334463998233,0.001,0.012165606355355558,0.028163946061057456,-4.298095684874708,0.10317260163807727,0.8310018116922863,0.8284226991982023,-6.478334344160726
18,-3.095535343124421,0.001,0.011992904072455695,0.029152562991844138,-4.3108607031694754,0.10249826448239363,0.8283992927680904,0.8246489134334403,-6.517292567436721
