Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,2737.4408378050416,0.001,27.095995918614356,20.314709524691704,-4.492059694575759,0.1,94.23587801427004,77.4838818346756,2733.476645971343
2,1676.8394453571923,0.001,16.556631541845118,13.270570281488503,-4.443978727938109,0.1,97.95944180660501,81.50737702044623,1672.9780007161767
3,1264.5053241838611,0.001,12.440575483652566,12.171207944506401,-4.404995050253352,0.1,100.74577383227538,84.54641721390753,1260.7397019930252
4,984.6547586260389,0.001,9.469435526613006,8.430663613068639,-4.374732753165515,0.1,103.12474495505376,87.18728246948318,980.9713936310897
5,857.7178510390496,0.001,8.23397415724498,6.433250279413709,-4.347699585076163,0.1,105.23418180684958,89.53309057135364,854.1093111951645
6,777.1986143203679,0.001,7.440240033245738,5.699415552644825,-4.321709444595643,0.1,107.14676838617392,91.63861072937671,773.6588628888874
7,697.9849316815687,0.001,6.656941603358805,5.434426668936167,-4.296593402656943,0.1,108.92195613906273,93.61964579954711,694.5087274680777
8,646.8410793668423,0.001,6.17934280604951,5.349536900624218,-4.272775823446967,0.1,110.56514739362345,95.4445577826969,643.4233508173693
9,619.799915770502,0.001,5.958080116461047,5.311265169690419,-4.250661665535015,0.1,112.09928717104536,97.16032057090628,616.4365015133033
10,599.3724308725148,0.001,5.786495085693132,5.276704540827709,-4.230603938403706,0.1,113.50983501531925,98.75362924868656,596.0592603296313
11,574.7601463931064,0.001,5.555524906111086,5.221957473317924,-4.2124756825973275,0.1,114.80247907444644,100.23280979374678,571.4937201561895
12,551.3464866556757,0.001,5.330224073617596,5.191644609822614,-4.196060898644113,0.1,115.97780283701435,101.60495654647025,548.1239165284302
13,532.3333784064209,0.001,5.14810460189986,5.191828064447443,-4.181061975626296,0.1,117.05163072284522,102.87318540173956,529.1510775372843
14,517.6463426218492,0.001,5.010290316631435,5.2223357459709305,-4.166805830543441,0.1,118.0528127465747,104.07455795079474,514.501327651683
15,505.5932429951029,0.001,4.897990224728488,5.271056797851648,-4.153232113959217,0.1,118.97526229759197,105.17758251406951,502.48263938699074
16,493.69745173676154,0.001,4.785287665514021,5.302754449608285,-4.140283717829625,0.1,119.82302215831172,106.18789813533775,490.6190262173687
17,482.03888239989624,0.001,4.6722935593528465,5.3235275219625064,-4.127903870549739,0.1,120.60646848532852,107.10354230693044,478.9906901375701
18,470.9933005492744,0.001,4.5627715911410665,5.328263739397426,-4.1161340704546125,0.1,121.32944769969454,107.9260251099263,467.9737180794603
19,459.6001282709076,0.001,4.447645287664058,5.342149579365162,-4.105058860363769,0.1,121.99387809468261,108.65602273183289,456.6081599553979
20,447.6937354631595,0.001,4.326289122914455,5.358778817704363,-4.094526926067022,0.1,122.60682197093651,109.30797471022571,444.7281332582156
21,435.1644965309122,0.001,4.198417006618943,5.365952867560018,-4.084554402918797,0.1,123.17100565506736,109.89441262792344,432.2240913995707
22,422.3509174282091,0.001,4.067425825859354,5.352133191648825,-4.075254109611755,0.1,123.68880358620892,110.41854088632158,419.4343383722072
23,409.0148106739985,0.001,3.9314491508292972,5.32648983535056,-4.066461969370503,0.1,124.16334334360249,110.89320488676594,406.1207491093658
24,395.6749673030782,0.001,3.7967053385674667,5.300637825834409,-4.05842542607894,0.1,124.59108457060188,111.3081615621229,392.8023628606532
25,382.7896764560433,0.001,3.6665136437045542,5.257769708289849,-4.050790778928598,0.1,124.99530987544226,111.70646957621797,379.9374783274223
26,370.1270910413359,0.001,3.539040118214256,5.196889611073431,-4.0437486065997374,0.1,125.37293930386504,112.08694231885886,367.29426295381194
27,358.2826427696006,0.001,3.4212382758206794,5.114514045860908,-4.037310099486525,0.1,125.7266436530656,112.45009760700822,355.46795578420614
28,347.28893362246197,0.001,3.313603847045098,5.05110615193828,-4.0316255609832385,0.1,126.05156911548103,112.79319505004752,344.4913970559533
29,337.03561286167525,0.001,3.213801241728055,4.9948660969547785,-4.026666051734888,0.1,126.34674006543813,113.11190472067409,334.25431388084166
30,327.5275003921321,0.001,3.119478182845953,4.962125111635876,-4.022138076495647,0.1,126.62277343225232,113.42193091324432,324.76171702996936
31,318.49135508753113,0.001,3.0285316378829874,4.950888213466609,-4.017832274354489,0.1,126.8859659085793,113.72639363840607,315.74024225434704
32,309.59243667123354,0.001,2.9386688537995904,4.963831721238878,-4.013740304346285,0.1,127.12665385734317,114.00984239021881,306.8554584019669
33,300.9906781074319,0.001,2.852380517416312,4.999666055256646,-4.00996962285889,0.1,127.33620259058033,114.25682014606303,298.2669583265891
34,292.70935327475127,0.001,2.770058516080876,5.041569036664332,-4.0065091171647165,0.1,127.52545602049985,114.4843018373744,289.99822112708426
35,284.6045704754116,0.001,2.6900421550127627,5.077031115274293,-4.003279855072004,0.1,127.70432745979447,114.70704838992272,281.90529202415274
36,276.760811663359,0.001,2.6128512308628387,5.096900933793415,-3.9999559920298267,0.1,127.89374974745911,114.95993566865796,274.07331755378294
37,269.12373918191173,0.001,2.5379780847636373,5.098077739070349,-3.9960053706214698,0.1,128.10284644874548,115.24542719625214,266.4481757347939
38,261.837039871126,0.001,2.4665375600206114,5.07962578252509,-3.991645277876143,0.1,128.325271631068,115.55253008745466,259.1736548343597
39,254.8018320436033,0.001,2.397491966019065,5.064962726163213,-3.9869756678571076,0.1,128.55801063198987,115.87437583411885,252.1506078616722
40,248.0429880839397,0.001,2.331062784049093,5.05121741150887,-3.9823545916968857,0.1,128.79043687921123,116.183724595795,245.40362739008222
41,241.50114288798602,0.001,2.2667467019267407,5.033512890070818,-3.978110144316613,0.1,129.00977263838485,116.46932465996186,238.87326000165143
42,235.3538416195416,0.001,2.2059607145454923,5.015464022760189,-3.974234221527281,0.1,129.2207955493954,116.74143285200411,232.73727342060448
43,229.56367501175723,0.001,2.148515156943633,5.001015431662494,-3.970730038990478,0.1,129.4214887249311,116.99491711835499,226.95811115331637
44,224.12898737896103,0.001,2.094390090855748,4.997731097823131,-3.967372536140721,0.1,129.60996558351988,117.2313462933511,221.53392886491824
45,218.96897018119827,0.001,2.042880368903914,5.000656374725818,-3.9639942797755454,0.1,129.79687559932793,117.46771520478381,216.3843709790385
46,214.04561059505667,0.001,1.9937972337787997,5.00731010666402,-3.960548297798356,0.1,129.99145796601348,117.71219979703507,211.47128695487046
47,209.26014690807025,0.001,1.9463235166370005,5.016452657162213,-3.9571645578916934,0.1,130.19276914653014,117.96921482714028,206.69571623787047
48,204.62342773401906,0.001,1.9004579284674277,5.025744793756431,-3.954022478309732,0.1,130.39404503791096,118.23391048185702,202.068286900749
49,200.08675602591305,0.001,1.8555745582541119,5.027311076237077,-3.9511972579276824,0.1,130.5955582581681,118.50426757730163,197.54020832648067
50,195.6289040340339,0.001,1.8115414282001516,5.018614330401549,-3.948515372090935,0.1,130.79872022752014,118.77984282682226,193.0906404414969
51,191.35332133063986,0.001,1.7694173412161749,5.010552750331871,-3.9459008790619725,0.1,130.99977370051914,119.05385864634451,188.82310798308572
52,187.1772273590973,0.001,1.7282136519011402,5.009958667802068,-3.9432972745326538,0.1,131.1908495768846,119.31885443324212,184.65486098412433
53,183.0991414129621,0.001,1.688218811518165,5.021971961709379,-3.940701132497905,0.1,131.37665932072562,119.57619936487788,180.58448999848807
54,179.23206426209893,0.001,1.6504585172697017,5.0431241580117865,-3.938165804039333,0.1,131.54888889699237,119.81811195735617,176.72514873345466
55,175.5234206582666,0.001,1.6142419507358043,5.08116490084341,-3.9354974438531176,0.1,131.71189779949012,120.05334655795433,173.02467289089194
56,171.93709343270908,0.001,1.579049098289989,5.112676768428391,-3.933034904050073,0.1,131.8625411418273,120.27878876016185,169.44659889746643
57,168.56070506084492,0.001,1.545464192682626,5.1471125056633715,-3.930682973109472,0.1,132.00799730872498,120.49788445116202,166.07846061768248
58,165.1532004035454,0.001,1.5119230311047787,5.170738891552297,-3.9281946019660787,0.1,132.16414658938564,120.72418915226046,162.67930955237185
59,161.8139680067966,0.001,1.4794902039870075,5.194390786339568,-3.925486876982221,0.1,132.3301550901675,120.95737657256795,159.348699477739
60,158.67687851179824,0.001,1.4491486671100398,5.216877507691143,-3.922668856107657,0.1,132.50864394383802,121.2039174487842,156.21994481439648
61,155.66351071938607,0.001,1.419746111678534,5.228694736557958,-3.920058326638589,0.1,132.68313856955538,121.44305826209522,153.21421148344282
62,152.7655304126708,0.001,1.3908906704620425,5.228848731833203,-3.9178959728380915,0.1,132.84527165311692,121.66187071974848,150.32317565898825
63,149.88349887104107,0.001,1.3621051618528335,5.25232227918113,-3.915661863096272,0.1,133.00504737264035,121.86912713276816,147.44794947548863
64,147.1833956225687,0.001,1.3353622782234993,5.293596683984559,-3.9132389165516557,0.1,133.16797634471484,122.07037734816605,144.75460563107703
65,144.4858076471613,0.001,1.3086100402755765,5.325227914373706,-3.9109758554258964,0.1,133.33100815849784,122.26529030394937,142.06366440492758
66,141.85591213243853,0.001,1.2823018899246315,5.364731958592195,-3.90883609261199,0.1,133.4836411474898,122.44675823726604,139.44029734515357
67,139.22402433931876,0.001,1.2559028225183275,5.41274588281363,-3.9067235647107417,0.1,133.61972714500197,122.60949474178305,136.81522980206412
68,136.69079172179082,0.001,1.2306022242323473,5.4578021707271045,-3.9046491310459244,0.1,133.74244794522156,122.75243580994957,134.28902764826512
69,134.2375318014055,0.001,1.2062477065672332,5.501664281903999,-3.9026719256353366,0.1,133.84897310158476,122.874538642539,131.8427671062282
70,131.88904240503368,0.001,1.1833804962832914,5.546743127306861,-3.9007640067677882,0.1,133.95003196747228,122.99001752251453,129.50101115701818
71,129.5740000261854,0.001,1.160936212976599,5.586645507132548,-3.8991449584696993,0.1,134.0489458782872,123.10143622473045,127.19229398758803
72,127.2617801336034,0.001,1.1384301727641597,5.622516933450608,-3.8977989541054723,0.1,134.1458989695629,123.21063274487135,124.88589995657932
73,124.98398337305358,0.001,1.1161723652243045,5.6543926555209785,-3.8966387544648473,0.1,134.2460995989507,123.32368285723848,122.61373080204493
74,122.76388682277522,0.001,1.09422419647351,5.681846935695794,-3.8954392677273963,0.1,134.3511958708584,123.43805321195208,120.39903950669296
75,120.56966595619724,0.001,1.0726062694961223,5.699574384557064,-3.8939341077242458,0.1,134.45986345439997,123.55018205978672,118.2103749327669
76,118.33415224824299,0.001,1.0504347381766017,5.712166777502885,-3.8922465024769597,0.1,134.56129051239216,123.64951997593144,115.98052639659068
