Epoch,Train loss,Learning rate,Train MSE,Test MSE,logdet,sigma,Train NN MSE,Test NN MSE,Train loss2
1,-4.1259793705807475,0.01,0.0001170182381912483,0.0001596097376527653,-4.137891307331577,0.1,1.4676234741684828,1.5872959932937694,-6.314354998475228
2,-4.452747616049219,0.01,0.00012616257959452776,0.0001609366916080456,-4.465478738909388,0.1,0.4740264827756483,0.3488150416173732,-7.59656744427842
3,-4.472573135794918,0.01,0.0001804381535000895,0.00020231653141492746,-4.490868275742273,0.1,0.1742884816132327,0.24075352700960376,-7.804227294475229
4,-4.512478574282255,0.01,6.0929682280508904e-05,4.799687059320289e-05,-4.5186884912308525,0.1,0.042041821819077896,0.0609603957231232,-8.033793120252849
5,-4.530241074656497,0.01,8.177884544164295e-05,7.106826640298868e-05,-4.538509628406471,0.1,0.06219762176202274,0.054521458792579046,-8.285271241505445
6,-4.529498991673263,0.01,0.0001784559430867967,0.00020147631392821756,-4.547938497667944,0.1,0.031133179261536872,0.028839700838183855,-8.393844237523474
7,-4.520251916269213,0.01,0.00020267843632702242,0.00016663892829115384,-4.540858480352579,0.1,0.00809853743728903,0.00927713728636183,-8.320539829330533
8,-4.542234692463709,0.01,8.10070129617233e-05,8.284354925058084e-05,-4.550750228973717,0.1,0.00862547085219316,0.01021812484862484,-8.30815341921067
9,-4.530139586005333,0.01,0.00011427270166508284,0.0001401467390139033,-4.542776234549986,0.1,0.012621139307765615,0.010524521876080826,-8.280840989798222
10,-4.516059753854167,0.01,6.76559458374796e-05,0.00010172612718634927,-4.52339028037568,0.1,0.026424122690907045,0.01919320722125073,-7.9811729495089905
11,-4.534845622848902,0.01,3.721792289621872e-05,5.2984035531402845e-05,-4.538681048838477,0.1,0.02194821625326539,0.02559986916442906,-7.822105204633569
12,-4.520221632920154,0.01,8.147375535371019e-05,8.126249925082068e-05,-4.52898116447627,0.1,0.0575875651549673,0.07408334286675004,-7.748466003679024
13,-4.525246172062873,0.01,9.95892047772068e-05,0.00010281955722860307,-4.536060717948294,0.1,0.04609161765664869,0.058122424428769214,-7.754222986370359
14,-4.551530646775777,0.01,6.337402844160226e-05,6.602259705469611e-05,-4.558152103299375,0.1,0.011667697907795357,0.014204709674084463,-7.804155154481888
15,-4.540274845427737,0.01,9.274161373647456e-05,0.00014242326569412997,-4.5504361461437535,0.1,0.01300451957509374,0.010942276012625086,-7.930561408798756
16,-4.531430361453836,0.01,9.515152303427058e-05,0.00012760874590087782,-4.54112081663127,0.1,0.030702290234138445,0.032200649446305685,-8.076993299653703
17,-4.537936315531664,0.01,9.572513085434005e-05,0.00012109522323766279,-4.547670106450848,0.1,0.03487780919758092,0.040451328226885484,-8.22260243676749
18,-4.545470154659009,0.01,0.0001014093769789588,0.00011113175846099689,-4.556212944005106,0.1,0.027228198708999184,0.03297782451711476,-8.336148900310524
19,-4.544345442359017,0.01,8.807284546182438e-05,9.770460496908761e-05,-4.553713699027468,0.1,0.01666854373170867,0.019323484459722623,-8.399286462927085
20,-4.547581929823499,0.01,7.467819270151366e-05,7.655486492539097e-05,-4.555725654688594,0.1,0.009582236572357808,0.009512497018917836,-8.455140246008368
21,-4.553959027574722,0.01,6.762962211296646e-05,6.255698743248365e-05,-4.561546352388942,0.1,0.004905054055291561,0.004016059689390302,-8.517378114499948
